geometry,Dmax,Nfaces,host_mean,host_std,init_mean,init_std,storage_MB,n_runs
Hex243,4,11,0.70570436,0.002121199129102719,0.00416698,6.187462306626067e-05,0.178168,50
Hex243,4,12,0.70564628,0.0021388334321803125,0.004162,6.135610343373701e-05,0.178168,50
Hex243,4,13,0.70553068,0.001934344190295666,0.0041494999999999995,9.944175815675286e-05,0.178168,50
Hex243,4,14,0.70542602,0.002393056012972643,0.0041794399999999995,5.8567651446155636e-05,0.178168,50
Hex243,4,15,0.70537094,0.002651235371732683,0.00418248,0.0001010060091160473,0.178168,50
Hex243,4,16,0.7055088399999999,0.002234132131732779,0.00417002,6.606505451879554e-05,0.178168,50
Hex243,5,1,0.55978608,0.0023932872520908153,0.019799940000000002,0.00022068061786672795,1.26442,50
Hex243,5,2,0.56427612,0.0027563243762189485,0.01891432,0.0003098496304167357,1.19838,50
Hex243,5,3,0.56591622,0.010683189016527657,0.0188713,0.00018945509941375936,1.19838,50
Hex243,5,4,0.5834419,0.0025919616576434755,0.01683088,0.00021978158360016396,1.06545,50
Hex243,5,5,0.58503352,0.010332226259581414,0.01684642,0.00015447000765619876,1.06545,50
Hex243,5,6,0.59981392,0.0030306374613339724,0.01549468,0.00015353992234953752,0.930856,50
Hex243,5,7,0.63459138,0.002392012643216199,0.01192948,0.00018837059001785146,0.693928,50
Hex243,5,8,0.63648634,0.00248795528381957,0.01156116,0.00015813070801184228,0.677192,50
Hex243,5,9,0.6433224599999999,0.002490956845987387,0.01059118,0.00016349058388912858,0.609224,50
Hex243,5,10,0.6459262800000001,0.0024206824981262446,0.01052584,0.00011112511059198826,0.592136,50
Hex243,5,11,0.6476173,0.0027622922841845105,0.01021814,0.0001971137670048877,0.558344,50
Hex243,5,12,0.6551587999999999,0.002285348131386688,0.009446719999999999,0.00014207472020894138,0.507208,50
Hex243,5,13,0.6628837799999999,0.002559400187145255,0.0076085599999999995,0.0001173270607476104,0.387464,50
Hex243,5,14,0.66337282,0.0024958904974181095,0.00758186,0.00011371733843712884,0.387464,50
Hex243,5,15,0.66387392,0.002147465908973672,0.0076071,7.315185491531315e-05,0.387464,50
Hex243,5,16,0.66684658,0.002272848631482681,0.00717942,9.035894182285968e-05,0.352552,50
Hex243,6,1,0.44795944,0.018847245343204377,0.10332906,0.0017957109490820229,7.31551,50
Hex243,6,2,0.51573426,0.012711898098142193,0.07612026,0.00045490617153206393,5.17174,50
Hex243,6,3,0.52218288,0.0024026364060323107,0.069315,0.0004083725290087223,4.59545,50
Hex243,6,4,0.56879762,0.0023965260307199656,0.03835042,0.00024172197640585114,2.54942,50
Hex243,6,5,0.56757472,0.0030814605339093307,0.03588202,0.0002692284888039771,2.35098,50
Hex243,6,6,0.58736606,0.002433916625355855,0.030556939999999998,0.0004400291460662068,1.82314,50
Hex243,6,7,0.62637672,0.0022883177230517276,0.021895519999999998,0.00020366621753070745,1.3081,50
Hex243,6,8,0.6314736599999999,0.00949420770272322,0.01834838,0.0002129872938626593,1.03822,50
Hex243,6,9,0.6378313800000001,0.005255957358142493,0.0169113,0.00018819651583233053,0.953128,50
Hex243,6,10,0.63897954,0.0020375426797583297,0.01660312,0.00021106915783163354,0.901992,50
