geometry,Dmax,storage_MB,invariant_ok,closure_ok,dyn_psi_pct,dyn_psi_std,stat_psi_pct,delta_psi_pp,dyn_single_face_pct,dyn_single_face_std,stat_single_face_pct,delta_single_face_pp,dyn_angular_pct,dyn_angular_std,stat_angular_pct,delta_angular_pp,dyn_displacement_pct,dyn_displacement_std,stat_displacement_pct,delta_displacement_pp
Tet1820,2,11997.4,True,True,49.23847000902774,0.04998106074450998,48.55601996264509,0.6824500463826553,50.65223995927729,0.05019487845360403,51.29674917383721,-0.6445092145599247,0.10929003169496614,0.0027703845761191765,0.11828012554767484,-0.0089900938527087,0.024925965534197816,0.0017475350247979032,0.029004774102672045,-0.004078808568474229
Tet1820,3,1368.29,True,True,51.758282221895385,0.053882115549689566,51.18083775317244,0.5774444687229447,48.13242774640963,0.05363694095249264,48.67149179411069,-0.5390640477010606,0.10929003169496614,0.0027703845761191765,0.11860692422782927,-0.009316892532863136,0.024925965534197816,0.0017475350247979032,0.029084912011310894,-0.004158946477113078
Tet1820,4,1049.25,True,True,54.241677292526255,0.05253452529380753,53.48348915622743,0.758188136298827,45.64903267577877,0.052055522685814586,46.36916699228605,-0.7201343165072771,0.10929003169496614,0.0027703845761191765,0.11826944724060211,-0.008979415545635971,0.024925965534197816,0.0017475350247979032,0.02900215555722319,-0.004076190023025374
Tet1820,5,984.196,True,True,30.61328877824538,0.04815751750724462,29.895271046332432,0.7180177319129477,69.27742119005967,0.04846770453516688,69.9588774824573,-0.6814562923976268,0.10929003169496614,0.0027703845761191765,0.1171497307789256,-0.007859699083959462,0.024925965534197816,0.0017475350247979032,0.028727577534249413,-0.003801612000051597
Tet298,1,8728.28,True,True,92.20253937900374,0.022306399333526714,91.80879914521871,0.39374023378502443,0.0,0.0,0.0,0.0,7.797460620996256,0.022306399333526267,8.150615471792008,-0.35315485079575204,0.03562075177384387,0.001827547556511003,0.040525999945635244,-0.004905248171791374
Tet298,2,584.282,True,True,62.79387482165608,0.031724935263940886,61.80374047815987,0.9901343434962158,37.08988743570778,0.03172475076332574,38.017517770289174,-0.9276303345813943,0.11623774263613654,0.0033929224400567597,0.13865033684371877,-0.022412594207582237,0.031040873771743936,0.0019000069955982066,0.0401393541372689,-0.009098480365524964
Tet298,3,265.825,True,True,71.5666289868103,0.03933413277408144,70.79132192997851,0.7753070568317924,28.317083107855648,0.03940023359432971,29.02891478431002,-0.7118316764543735,0.11628790533404816,0.0033976703696440777,0.13940014518144048,-0.023112239847392316,0.031075986951631347,0.0018981706137120586,0.04037601785378629,-0.009300030902154945
Tet298,4,163.926,True,True,51.816758874843764,0.04300989142852025,50.11873162388563,1.698027250958134,48.06695321982219,0.04496903286605612,49.705487190564824,-1.6385339707426354,0.11628790533404816,0.0033976703696440777,0.13629248161658786,-0.020004576282539696,0.031075986951631347,0.0018981706137120586,0.03947591061634594,-0.008399923664714596
Tet298,5,156.583,True,True,29.14242406979717,0.06058512912152842,27.131927587495056,2.0104964823021128,70.7412880248688,0.060122007821999224,72.69942042486545,-1.9581323999966571,0.11628790533404816,0.0033976703696440777,0.13113219564880998,-0.014844290314761824,0.031075986951631347,0.0018981706137120586,0.037981279473068036,-0.006905292521436689
Tet427,1,4087.71,True,True,88.93611574212132,0.03397974828857194,88.26899263268055,0.6671231094407659,0.0,0.0,0.0,0.0,11.063884257878678,0.03397974828857084,11.638863756707513,-0.574979498828835,0.07969395888818324,0.0024868264997121247,0.09217602765142197,-0.012482068763238721
Tet427,2,397.218,True,True,57.28521092820631,0.051718560342845915,55.913469040436006,1.3717418877703054,42.46048769952463,0.05261033089326416,43.715590758149126,-1.2551030586244991,0.2543013722690638,0.004917217269348944,0.279760589676749,-0.025459217407685197,0.07613735770637603,0.0026239852312615053,0.09115849324381949,-0.015021135537443456
Tet427,3,187.066,True,True,61.80093759638133,0.047853536572487476,60.40557775610316,1.395359840278168,37.93402614984615,0.04720934756298841,39.223107965205266,-1.2890818153591184,0.2650362537725148,0.005239072385540598,0.28050337550316173,-0.01546712173064696,0.07969395888818324,0.0024868264997121247,0.0907781565280919,-0.011084197639908658
Tet427,4,147.361,True,True,38.645110625903996,0.04272655641558622,36.75393854523792,1.891172080666074,61.0898531203235,0.04230396841887148,62.88512688808839,-1.7952737677648898,0.2650362537725148,0.005239072385540598,0.27295422505971934,-0.007917971287204562,0.07969395888818324,0.0024868264997121247,0.08833505594372407,-0.008641097055540822
Tet427,5,146.763,True,True,21.281814023897898,0.04014723301073945,19.80708089265933,1.474733131238569,78.45314972232958,0.04153365577105447,79.83925752957538,-1.3861078072457929,0.2650362537725148,0.005239072385540598,0.26701585926708254,-0.001979605494567771,0.07969395888818324,0.0024868264997121247,0.08641324698695814,-0.006719288098774895
